Date,Day,ADR Model,ADR Box Color,ADR Confirmation,ADR True,ADR Result,ADR Max Ext,ADR Max Ret,ODR Model,ODR Box Color,ODR Confirmation,ODR True,ODR Result,ODR Max Ext,ODR Max Ret,RDR Model,RDR Box Color,RDR Confirmation,RDR True,RDR Result,RDR Max Extension,RDR Max Ret,Error Checking Notes,,,,,
1-Feb-08,Friday,UXP,Red,Neutral,Neutral,Complete,,,UX,Red,Long,TRUE,Complete,3,-0.6,DXP,Red,Short,TRUE,Complete,2.2,-0.1,,,,,,
4-Feb-08,Monday,DXP,Green,Long,TRUE,Complete,0.6,-0.3,UX,Green,Short,TRUE,Broken,2.2,0.1,RX,Green,Long,TRUE,Complete,1.5,0,,,,,,
5-Feb-08,Tuesday,UXP,Green,Long,TRUE,Complete,0.3,-0.9,D,Red,Short,TRUE,Complete,3.5,0.2,DXP,Green,Short,FALSE,Complete,1.3,-2,,,,,,
6-Feb-08,Wednesday,RC,Green,Short,TRUE,Complete,1.5,-0.4,DXP,Green,Long,TRUE,Broken,3.4,-0.1,UXP,Red,Short,TRUE,Broken,1.6,0.3,,,,,,
7-Feb-08,Thursday,DXP,Green,Long,TRUE,Complete,0.5,-0.6,U,Green,Short,TRUE,Broken,0.1,-0.2,D,Green,Long,TRUE,Broken,1,-0.1,,,,,,
8-Feb-08,Friday,UXP,Green,Long,TRUE,Complete,2.2,-0.1,UXP,Green,Long,TRUE,Complete,1.4,-0.7,UXP,Green,Long,TRUE,Complete,6.8,0.2,,,,,,
11-Feb-08,Monday,UXP,Red,Short,TRUE,Complete,1.6,0,DXP,Red,Long,TRUE,Broken,1.2,-1.1,D,Green,Long,TRUE,Broken,3.9,-0.1,,,,,,
12-Feb-08,Tuesday,UXP,Neutral,Short,TRUE,Complete,1.8,-0.5,DX,Green,Long,FALSE,Broken,1.4,-4.5,RX,Green,Long,FALSE,Complete,1.3,-2.1,,,,,,
13-Feb-08,Wednesday,RC,Green,Long,FALSE,Complete,1.3,-5,DX,Green,Short,FALSE,Broken,1.3,-3,DXP,Green,Short,FALSE,Broken,1.5,-7.5,,,,,,
14-Feb-08,Thursday,UXP,Green,Long,FALSE,Complete,1.7,-1.5,UXP,Green,Long,FALSE,Complete,3,-1.6,UXP,Green,Long,TRUE,Complete,2.2,-0.9,,,,,,
15-Feb-08,Friday,UXP,Green,Short,TRUE,Complete,0.4,-1,UXP,Green,Long,TRUE,Complete,1.2,-1,UXP,Red,Short,TRUE,Broken,4.8,0.5,,,,,,
19-Feb-08,Tuesday,DXP,Green,Long,TRUE,Broken,2.9,-0.4,UXP,Red,Short,FALSE,Complete,0.6,-8.1,UXP,Red,Short,FALSE,Complete,1.1,-5.3,,,,,,
20-Feb-08,Wednesday,UXP,Red,Long,TRUE,Complete,0.6,-2.2,D,Red,Short,FALSE,Broken,0.8,-1.3,D,Green,Long,TRUE,Broken,2.7,-0.3,,,,,,
21-Feb-08,Thursday,UXP,Red,Long,TRUE,Complete,0.2,0,UX,Red,Short,TRUE,Broken,3.1,-0.4,DXP,Red,Long,FALSE,Complete,2.6,-5.1,,,,,,
22-Feb-08,Friday,DXP,Green,Long,TRUE,Complete,1,-0.6,UX,Red,Long,TRUE,Complete,3.8,-0.1,RX,Red,Long,TRUE,Complete,0.3,-0.4,,,,,,
25-Feb-08,Monday,UXP,Red,Short,FALSE,Complete,0.6,-2,DXP,Red,Long,FALSE,Broken,1.3,-4.6,DXP,Red,Long,TRUE,Broken,1.6,-0.1,,,,,,
26-Feb-08,Tuesday,UXP,Red,Short,TRUE,Complete,3.9,0.4,DXP,Red,Short,FALSE,Broken,0.4,-3,UX,Green,Long,TRUE,Complete,5.9,1.2,,,,,,
27-Feb-08,Wednesday,UXP,Green,Short,TRUE,Complete,0.4,-1.2,UXP,Green,Short,TRUE,Broken,2,0,DXP,Red,Short,FALSE,Complete,2.3,-1.4,,,,,,
28-Feb-08,Thursday,DXP,Red,Short,TRUE,Complete,3.4,-0.2,DXP,Red,Long,TRUE,Broken,1.1,0.1,UXP,Red,Long,TRUE,Complete,2.7,0,,,,,,
29-Feb-08,Friday,UXP,Green,Neutral,Neutral,Complete,,,DX,Red,Short,TRUE,Complete,1,-0.8,DX,Red,Long,TRUE,Broken,0.6,-1,,,,,,
3-Mar-08,Monday,RC,Red,Long,TRUE,Complete,0.4,-0.8,RX,Red,Short,TRUE,Complete,2,-0.1,UXP,Green,Short,TRUE,Broken,1.9,0.1,,,,,,
4-Mar-08,Tuesday,DXP,Green,Long,FALSE,Complete,1.3,-2.3,DXP,Green,Long,FALSE,Complete,1.3,-2.3,RX,Green,Short,FALSE,Complete,0.6,-2,,,,,,
5-Mar-08,Wednesday,DXP,Red,Short,TRUE,Complete,0.3,-0.4,UXP,Red,Long,TRUE,Complete,3.1,-0.2,UXP,Green,Long,TRUE,Complete,9.5,0.6,,,,,,
6-Mar-08,Thursday,UXP,Red,Short,TRUE,Complete,0.7,-0.3,DXP,Green,Short,FALSE,Broken,1.2,-7.7,RX,Red,Long,FALSE,Complete,2.2,-2.9,,,,,,
7-Mar-08,Friday,UXP,Green,Short,TRUE,Complete,0.1,-1.1,DX,Red,Short,FALSE,Broken,0.2,-1.7,DX,Green,Long,TRUE,Broken,1.4,-1,,,,,,
10-Mar-08,Monday,UX,Red,Short,TRUE,Complete,0.4,-0.7,RC,Green,Long,FALSE,Complete,0.6,-4.5,RX,Green,Long,TRUE,Complete,0.9,-0.1,,,,,,
11-Mar-08,Tuesday,UXP,Red,Neutral,Neutral,Complete,,,UXP,Green,Short,FALSE,Broken,0.2,-5.3,D,Red,Long,TRUE,Broken,0.9,-0.6,,,,,,
12-Mar-08,Wednesday,UXP,Neutral,Long,TRUE,Complete,5.3,1.5,U,Red,Short,FALSE,Broken,0.7,-3.2,UX,Red,Short,FALSE,Broken,3.1,-3.6,,,,,,
13-Mar-08,Thursday,UXP,Red,Short,TRUE,Complete,5.7,-1.2,DX,Green,Long,TRUE,Broken,2.4,-1,U,Green,Long,FALSE,Broken,1.4,-2.5,,,,,,
14-Mar-08,Friday,RC,Green,Short,TRUE,Complete,2.4,-0.6,RX,Green,Long,FALSE,Complete,0.3,-1.1,U,Green,Short,TRUE,Broken,1.1,-0.8,,,,,,
17-Mar-08,Monday,RC,Green,Long,TRUE,Complete,3.3,-1,UXP,Green,Short,TRUE,Broken,3.7,0.2,DXP,Green,Long,FALSE,Complete,1.3,-4,,,,,,
18-Mar-08,Tuesday,DX,Red,Short,TRUE,Complete,0.8,-0.6,DX,Red,Long,TRUE,Broken,3.4,-0.1,UX,Red,Long,TRUE,Complete,0.9,0.2,,,,,,
19-Mar-08,Wednesday,UXP,Red,Short,TRUE,Complete,1,-0.1,D,Green,Long,FALSE,Broken,0.4,-3.2,DXP,Red,Long,FALSE,Complete,0.6,-3.9,,,,,,
20-Mar-08,Thursday,DXP,Red,Short,TRUE,Complete,0.8,-0.6,RC,Red,Short,TRUE,Complete,12.7,0.2,DXP,Green,Long,TRUE,Complete,1.7,-0.6,,,,,,
24-Mar-08,Monday,UXP,Red,Long,FALSE,Broken,0.5,-2.5,UXP,Green,Short,FALSE,Complete,0.4,-1.8,UX,Green,Long,FALSE,Broken,0.5,-2.2,,,,,,
25-Mar-08,Tuesday,DXP,Red,Long,TRUE,Complete,1.2,-0.5,UXP,Red,Long,FALSE,Broken,8.7,-4.9,RX,Red,Short,FALSE,Complete,0.5,-1.9,,,,,,
26-Mar-08,Wednesday,UXP,Green,Long,TRUE,Complete,2.6,0.2,UXP,Green,Short,FALSE,Complete,0.3,-4.1,UXP,Green,Long,TRUE,Complete,2.2,0.4,,,,,,
27-Mar-08,Thursday,UXP,Green,Long,TRUE,Complete,3.8,0.4,UX,Red,Short,FALSE,Broken,1.2,-6.1,RX,Green,Long,TRUE,Complete,2.4,-0.6,,,,,,
28-Mar-08,Friday,UXP,Red,Short,TRUE,Broken,5.4,0,DXP,Green,Short,FALSE,Broken,2.7,-3.9,DXP,Red,Short,TRUE,Complete,0.6,-0.9,,,,,,
31-Mar-08,Monday,DXP,Green,Long,FALSE,Complete,1.5,-4.4,UX,Green,Short,TRUE,Broken,0.1,-1.4,UXP,Green,Short,TRUE,Broken,4.2,0.2,,,,,,
1-Apr-08,Tuesday,DXP,Green,Short,TRUE,Complete,1.2,-0.9,DXP,Red,Short,FALSE,Complete,0.3,-1.8,DXP,Green,Long,TRUE,Broken,2.4,-0.2,,,,,,
3-Apr-08,Thursday,UXP,Red,Short,TRUE,Complete,1.7,0,DXP,Green,Short,TRUE,Complete,2.5,0,RX,Green,Long,TRUE,Complete,0.9,-0.9,,,,,,
4-Apr-08,Friday,RC,Green,Long,TRUE,Complete,0.4,-1,UXP,Green,Long,TRUE,Complete,0.8,-0.6,UXP,Green,Short,FALSE,Complete,0.6,-1.6,,,,,,
7-Apr-08,Monday,UXP,Green,Short,TRUE,Complete,0.3,-0.5,DX,Red,Long,TRUE,Broken,3,0.2,UXP,Green,Long,TRUE,Complete,0.3,-0.5,,,,,,
8-Apr-08,Tuesday,RC,Green,Neutral,Neutral,Complete,,,U,Green,Short,TRUE,Broken,1,-0.6,D,Green,Short,TRUE,Complete,1.7,-1.2,,,,,,
9-Apr-08,Wednesday,RC,Green,Short,TRUE,Complete,1.9,-0.5,DXP,Red,Long,FALSE,Broken,0.2,-1.5,UX,Green,Long,TRUE,Complete,4.8,2,,,,,,
10-Apr-08,Thursday,UXP,Green,Long,TRUE,Complete,0.7,-0.3,U,Green,Long,TRUE,Complete,1.6,-1,D,Red,Short,TRUE,Complete,1.2,-1,,,,,,
11-Apr-08,Friday,DXP,Red,Short,TRUE,Complete,1.4,-1,UXP,Green,Long,FALSE,Complete,1.1,-1.6,DXP,Green,Short,FALSE,Broken,0.5,-2.3,,,,,,
14-Apr-08,Monday,UX,Red,Long,FALSE,Complete,1,-2,UXP,Red,Short,FALSE,Broken,0.7,-5.6,UXP,Green,Long,TRUE,Complete,1.3,-0.7,,,,,,
15-Apr-08,Tuesday,UXP,Green,Short,FALSE,Complete,0.2,-3.9,U,Green,Short,FALSE,Broken,1.4,-10.9,UXP,Red,Long,TRUE,Complete,1.4,-1.5,,,,,,
16-Apr-08,Wednesday,RC,Red,Long,TRUE,Complete,3.5,-0.8,UX,Red,Long,TRUE,Complete,2.8,-0.2,D,Red,Long,FALSE,Broken,3.5,-4.1,,,,,,
17-Apr-08,Thursday,UXP,Green,Long,TRUE,Complete,0.9,-0.9,RX,Green,Long,FALSE,Complete,0.8,-1.7,U,Green,Short,TRUE,Broken,1.6,-0.5,,,,,,
18-Apr-08,Friday,RC,Green,Long,TRUE,Complete,1,-0.5,RX,Red,Short,TRUE,Complete,4.3,-0.1,DXP,Green,Long,TRUE,Broken,3.4,-0.1,,,,,,
21-Apr-08,Monday,UXP,Red,Short,TRUE,Complete,0,-1,RX,Green,Long,TRUE,Complete,0.4,-1,D,Green,Short,FALSE,Broken,1.6,-2.7,,,,,,
22-Apr-08,Tuesday,UXP,Red,Long,FALSE,Complete,3.5,-3,RX,Green,Long,TRUE,Complete,1,-0.3,RX,Green,Long,TRUE,Complete,1.4,0,,,,,,
23-Apr-08,Wednesday,UXP,Green,Short,TRUE,Complete,0.3,-1.7,DX,Green,Long,FALSE,Broken,0.9,-5.7,DXP,Green,Short,FALSE,Broken,0.8,-2.9,,,,,,
24-Apr-08,Thursday,UXP,Red,Short,TRUE,Complete,1.2,-1,UX,Green,Short,TRUE,Broken,5.3,0.5,DXP,Green,Long,FALSE,Complete,0.5,-2.4,,,,,,
25-Apr-08,Friday,DXP,Red,Long,TRUE,Broken,0.6,-0.6,RX,Red,Short,FALSE,Complete,0.3,-2.4,UXP,Red,Long,TRUE,Complete,3.3,0.4,,,,,,
28-Apr-08,Monday,UXP,Red,Short,FALSE,Complete,2,-2.4,RX,Red,Short,TRUE,Complete,1.7,-0.9,DX,Green,Neutral,Neutral,Complete,,,,,,,,
29-Apr-08,Tuesday,RC,Red,Short,TRUE,Complete,2,-0.4,DXP,Red,Short,TRUE,Complete,3.5,-0.6,DXP,Green,Short,TRUE,Complete,1.5,0,,,,,,
30-Apr-08,Wednesday,DXP,Red,Long,TRUE,Complete,0.2,-0.8,RX,Red,Long,TRUE,Complete,0.1,0,UXP,Red,Short,TRUE,Broken,10.2,3.6,,,,,,
1-May-08,Thursday,DXP,Green,Long,FALSE,Complete,1..2,-1.2,D,Red,Short,TRUE,Complete,1.8,0.2,DXP,Red,Short,TRUE,Complete,1.8,-0.7,,,,,,
2-May-08,Friday,RC,Red,Short,TRUE,Complete,1.2,-0.2,DX,Neutral,Long,TRUE,Broken,8.4,1.3,UXP,Green,Long,TRUE,Complete,2.5,-0.2,,,,,,
5-May-08,Monday,UXP,Green,Long,TRUE,Complete,5.6,-1.8,UXP,Green,Long,TRUE,Complete,1,-1.1,UXP,Green,Long,TRUE,Complete,1,-1.1,,,,,,
6-May-08,Tuesday,UXP,Green,Long,TRUE,Complete,1.1,-0.5,U,Green,Long,FALSE,Broken,0.5,-1.7,UX,Green,Long,TRUE,Complete,0.5,-0.4,,,,,,
7-May-08,Wednesday,RC,Green,Short,FALSE,Complete,4,-3.9,RX,Green,Short,TRUE,Complete,0.6,-1,D,Red,Short,FALSE,Broken,1.6,-3.7,,,,,,
8-May-08,Thursday,UXP,Red,Short,TRUE,Complete,3.3,0.3,DXP,Red,Short,FALSE,Broken,1.6,-2.6,D,Red,Long,FALSE,Broken,1.7,-2.8,,,,,,
9-May-08,Friday,UXP,Green,Long,TRUE,Complete,0.8,-0.2,U,Green,Long,TRUE,Complete,4.2,-0.1,UXP,Red,Long,TRUE,Complete,0.6,0.1,,,,,,
12-May-08,Monday,UXP,Red,Short,TRUE,Broken,2.1,0.4,DXP,Red,Short,TRUE,Complete,5.4,-0.5,DXP,Green,Long,FALSE,Broken,1.1,-1.7,,,,,,
13-May-08,Tuesday,DXP,Green,Short,TRUE,Complete,3.3,0.8,RX,Green,Short,FALSE,Complete,0.4,-2.7,UX,Green,Long,TRUE,Complete,6.7,0.6,,,,,,
14-May-08,Wednesday,UXP,Red,Short,TRUE,Complete,0.5,-1.1,DXP,Red,Long,FALSE,Broken,0.7,-1.7,DXP,Red,Long,FALSE,Broken,0.4,-1.6,,,,,,
15-May-08,Thursday,DXP,Green,Short,FALSE,Complete,1.8,-2.2,UXP,Red,Long,TRUE,Complete,1.9,-0.6,UXP,Red,Short,TRUE,Broken,6.8,0,,,,,,
16-May-08,Friday,DXP,Green,Long,TRUE,Complete,2.3,0.2,RX,Red,Short,FALSE,Complete,0.4,-5.6,UXP,Red,Short,TRUE,Complete,1.3,-0.8,,,,,,
19-May-08,Monday,DXP,Green,Long,TRUE,Broken,3.2,-1.5,RX,Green,Short,FALSE,Complete,1.7,-2.9,RX,Green,Long,FALSE,Complete,0.4,-2.3,,,,,,
20-May-08,Tuesday,UX,Neutral,Long,TRUE,Complete,1,-1.1,RX,Red,Short,FALSE,Complete,0.7,-1.9,UXP,Green,Short,TRUE,Complete,0.4,-1.6,,,,,,
21-May-08,Wednesday,UXP,Red,Short,FALSE,Complete,1.1,-3.8,UXP,Green,Long,TRUE,Complete,3.9,-0.3,RX,Red,Long,TRUE,Complete,5.6,0.1,,,,,,
22-May-08,Thursday,UXP,Neutral,Long,TRUE,Complete,9.8,-0.7,U,Red,Long,FALSE,Broken,1.3,-3.1,DXP,Red,Short,TRUE,Complete,0.7,-0.6,,,,,,
23-May-08,Friday,DXP,Green,Long,TRUE,Complete,1.9,0,UXP,Green,Long,TRUE,Complete,2.1,-0.4,UXP,Red,Short,TRUE,Broken,3,0.1,,,,,,
27-May-08,Tuesday,RC,Green,Short,TRUE,Complete,0.3,-1.1,RX,Green,Short,TRUE,Complete,1,-0.9,DXP,Red,Long,FALSE,Complete,0.6,-2.1,,,,,,
28-May-08,Wednesday,DXP,Red,Long,TRUE,Complete,1.9,0,UXP,Red,Short,TRUE,Broken,4,1.5,RX,Green,Long,TRUE,Complete,0.6,-0.1,,,,,,
29-May-08,Thursday,UXP,Red,Short,TRUE,Complete,1.5,-0.4,RX,Green,Short,TRUE,Complete,1.3,-0.6,DX,Green,Long,FALSE,Broken,1.3,-2.4,,,,,,
30-May-08,Friday,DXP,Green,Long,FALSE,Complete,0.2,-3.3,DXP,Red,Long,TRUE,Broken,1.2,0,UXP,Red,Neutral,Neutral,Complete,,,,,,,,
2-Jun-08,Monday,RC,Green,Long,FALSE,Complete,0.6,-2.5,DXP,Red,Long,FALSE,Complete,0.7,-2.5,RX,Green,Long,TRUE,Complete,2,0.1,,,,,,
3-Jun-08,Tuesday,UXP,Green,Short,TRUE,Complete,1.9,0,D,Green,Long,FALSE,Broken,0.7,-4,DXP,Green,Short,TRUE,Complete,3.1,-0.6,,,,,,
4-Jun-08,Wednesday,DXP,Red,Short,FALSE,Complete,1.2,-1.2,DX,Red,Short,TRUE,Complete,0.3,-1.2,D,Green,Short,TRUE,Complete,2.2,-0.5,,,,,,
5-Jun-08,Thursday,DXP,Red,Short,TRUE,Complete,2.5,-0.5,UXP,Green,Long,FALSE,Broken,2.4,-1.3,UXP,Red,Short,FALSE,Complete,0.6,-5.3,,,,,,
6-Jun-08,Friday,UXP,Red,Short,FALSE,Complete,0.6,-4.3,RX,Red,Long,TRUE,Complete,4.6,0,UXP,Red,Long,TRUE,Complete,2.6,0.4,,,,,,
9-Jun-08,Monday,UXP,Red,Short,TRUE,Complete,0.6,-0.8,RX,Green,Short,TRUE,Complete,3,-0.7,DXP,Green,Long,FALSE,Complete,1.4,-3.7,,,,,,
10-Jun-08,Tuesday,DXP,Red,Short,TRUE,Complete,0.2,-1,DXP,Red,Long,TRUE,Broken,2.7,-0.1,UXP,Green,Short,TRUE,Broken,3.3,-0.4,,,,,,
11-Jun-08,Wednesday,DXP,Red,Long,TRUE,Complete,2.7,0.6,UXP,Green,Long,TRUE,Complete,4.2,-0.4,UXP,Green,Long,FALSE,Complete,2.4,-1.6,,,,,,
12-Jun-08,Thursday,UXP,Green,Long,FALSE,Broken,2.5,-8.4,DXP,Green,Long,FALSE,Complete,0.4,-3.2,DXP,Green,Short,FALSE,Broken,0.7,-3.5,,,,,,
13-Jun-08,Friday,UXP,Neutral,Short,FALSE,Complete,0.2,-1.6,D,Red,Short,FALSE,Broken,4.7,-2.5,DXP,Green,Long,TRUE,Complete,1.5,-0.6,,,,,,
16-Jun-08,Monday,RC,Green,Long,FALSE,Complete,0.3,-6.2,DXP,Green,Long,TRUE,Broken,6.3,0.2,UXP,Red,Short,TRUE,Broken,5.3,0.2,,,,,,
17-Jun-08,Tuesday,DXP,Red,Short,FALSE,Complete,0.4,-1.8,UXP,Green,Short,TRUE,Broken,3.2,0.5,DX,Green,Neutral,Neutral,Broken,,,,,,,,
18-Jun-08,Wednesday,RC,Neutral,Short,FALSE,Complete,0.7,-1.4,UXP,Green,Long,TRUE,Complete,2.2,-1.1,UX,Green,Long,FALSE,Broken,4.9,-5.1,,,,,,
19-Jun-08,Thursday,UXP,Red,Short,TRUE,Complete,3.8,-0.2,RX,Green,Long,FALSE,Complete,0.8,-2,D,Red,Short,TRUE,Complete,0.7,-0.4,,,,,,
20-Jun-08,Friday,DXP,Green,Long,FALSE,Complete,2.1,-3.3,UXP,Green,Short,FALSE,Complete,0.5,-5.1,UXP,Green,Short,TRUE,Complete,1,-0.6,,,,,,
23-Jun-08,Monday,DXP,Green,Long,TRUE,Broken,2.9,0.3,UXP,Green,Long,FALSE,Complete,2.1,-2.1,RX,Green,Long,TRUE,Complete,0.7,-0.4,,,,,,
24-Jun-08,Tuesday,UXP,Red,Short,TRUE,Broken,2.8,0.1,RX,Green,Long,TRUE,Complete,0.8,-0.4,RX,Green,Neutral,Neutral,Complete,,,,,,,,
25-Jun-08,Wednesday,RC,Green,Short,FALSE,Complete,0.3,-2.8,UX,Green,Long,FALSE,Broken,0.7,-2.3,DXP,Red,Short,TRUE,Complete,5.8,0.5,,,,,,
26-Jun-08,Thursday,DXP,Red,Short,TRUE,Complete,4.7,-0.5,DXP,Green,Long,TRUE,Broken,3.7,0,UXP,Red,Long,TRUE,Complete,1.5,0.4,,,,,,
27-Jun-08,Friday,UXP,Green,Long,TRUE,Complete,0.9,-1,UXP,Green,Long,TRUE,Complete,0.3,-0.5,RC,Green,Long,TRUE,Complete,2.2,-1.6,,,,,,
30-Jun-08,Monday,UX,Green,Long,TRUE,Complete,0.5,-0.6,UXP,Green,Long,TRUE,Complete,1.7,-1.2,D,Red,Short,TRUE,Complete,2.9,-0.2,,,,,,
2-Jan-09,Friday,UXP,Red,Short,FALSE,Complete,1.6,-1.6,DXP,Red,Short,TRUE,Complete,1.4,-1.6,UXP,Green,Long,TRUE,Complete,2.3,0.1,,,,,,
5-Jan-09,Monday,UXP,Red,Short,TRUE,Complete,0.5,-1,DXP,Red,Long,FALSE,Broken,1,-2,U,Green,Long,TRUE,Complete,0.9,0.1,,,,,,
6-Jan-09,Tuesday,UXP,Red,Long,FALSE,Complete,0.3,-3,DX,Green,Long,TRUE,Broken,1.9,0,UXP,Red,Short,TRUE,Broken,0.6,-0.6,,,,,,
7-Jan-09,Wednesday,DX,Red,Short,TRUE,Complete,0.9,0.1,D,Green,Short,FALSE,Broken,0.6,-1.9,DXP,Red,Short,TRUE,Complete,4.7,1.2,,,,,,
8-Jan-09,Thursday,DXP,Green,Long,FALSE,Complete,4.8,-4.1,RX,Green,Long,FALSE,Complete,0.5,-1.9,DX,Red,Short,TRUE,Complete,0.6,-1,,,,,,
9-Jan-09,Friday,RC,Neutral,Long,FALSE,Complete,0.2,-1.2,DXP,Green,Short,TRUE,Complete,3.1,-0.3,DXP,Red,Short,FALSE,Complete,0.2,-1.4,,,,,,
12-Jan-09,Monday,RC,Green,Long,FALSE,Complete,0.1,-2.5,DXP,Red,Short,TRUE,Complete,3.2,-0.3,DXP,Red,Short,TRUE,Complete,0.5,-0.7,,,,,,
13-Jan-09,Tuesday,DXP,Green,Long,FALSE,Complete,0.1,-2.5,DXP,Green,Long,TRUE,Complete,2,-0.6,UXP,Green,Short,TRUE,Complete,0.2,-0.7,,,,,,
14-Jan-09,Wednesday,RC,Green,Long,FALSE,Complete,1.1,-2,UXP,Green,Long,FALSE,Broken,0.6,-3.9,DXP,Red,Short,TRUE,Complete,1.5,-1.1,,,,,,
15-Jan-09,Thursday,RC,Red,Short,TRUE,Complete,4.2,0.2,DXP,Red,Long,TRUE,Broken,3,0,RX,Red,Short,TRUE,Complete,1.3,-0.9,,,,,,
16-Jan-09,Friday,RC,Green,Long,FALSE,Complete,0.9,-1.4,RX,Green,Short,TRUE,Complete,0.3,-1.2,RX,Red,Short,TRUE,Complete,0.6,-0.7,,,,,,
19-Jan-09,Monday,DXP,Green,Long,TRUE,Complete,1,-0.5,U,Green,Short,TRUE,Broken,4.1,0.1,DXP,Red,Short,TRUE,Complete,0.7,-0.7,,,,,,
20-Jan-09,Tuesday,RC,Green,Short,TRUE,Complete,2.1,0,DXP,Red,Short,FALSE,Complete,1.5,-6.3,UXP,Green,Long,FALSE,Complete,0.6,-1.6,,,,,,
21-Jan-09,Wednesday,DX,Green,Long,FALSE,Complete,0.7,-3.5,DXP,Green,Long,TRUE,Broken,2.2,0.1,UXP,Green,Short,FALSE,Complete,0.8,-4.4,,,,,,
