Date,Day,ADR Model,ADR Box Color,ADR Confirmation,ADR True,ADR Result,ADR Max Ext,ADR Max Ret,ODR Model,ODR Box Color,ODR Confirmation,ODR True,ODR Result,ODR Max Ext,ODR Max Ret,RDR Model,RDR Box Color,RDR Confirmation,RDR True,RDR Result,RDR Max Extension,RDR Max Ret,Error Checking Notes
29-Sep-08,Monday,UXP,Green,Short,TRUE,Broken,2.8,0.2,DXP,Red,Neutral,Neutral,Complete,,,D,Red,Short,TRUE,Complete,2.1,0.2,
30-Sep-08,Tuesday,DXP,Green,Long,TRUE,Complete,1.7,-0.6,UXP,Green,Long,TRUE,Complete,0.4,-0.5,D,Green,Long,TRUE,Complete,1.9,-0.4,
7-Oct-08,Tuesday,DX,Red,Short,FALSE,Broken,2.9,-0.1,UXP,Red,Short,TRUE,Broken,1.6,-0.7,D,Red,Short,TRUE,Complete,3.5,0,
17-Oct-08,Friday,UXP,Green,Short,FALSE,Complete,0.1,-2.3,DX,Red,Short,TRUE,Complete,0.9,-0.6,D,Green,Long,TRUE,Complete,1.9,-0.2,
7-Nov-08,Friday,DXP,Red,Long,TRUE,Complete,4,0.1,UXP,Green,Short,TRUE,Complete,1,0.1,D,Green,Long,TRUE,Broken,0.4,-1,
26-Nov-08,Wednesday,DXP,Red,Short,TRUE,Complete,1,-0.1,RX,Green,Long,FALSE,Complete,0.2,-2.5,D,Green,Long,TRUE,Broken,2.2,0,
3-Dec-08,Wednesday,UXP,Red,Neutral,Neutral,Complete,,,DX,Red,Short,TRUE,Complete,0.3,-0.9,D,Green,Long,TRUE,Broken,2.5,-0.6,
10-Dec-08,Wednesday,DXP,Red,Long,TRUE,Broken,5.3,-0.2,UXP,Green,Short,TRUE,Complete,0.7,-1,D,Green,Long,FALSE,Broken,0.4,-1.7,
15-Dec-08,Monday,UXP,Red,Short,FALSE,Complete,0.2,-1.5,DXP,Red,Short,TRUE,Complete,1,-1.3,D,Red,Short,TRUE,Complete,0.8,-0.3,
18-Dec-08,Thursday,RC,Green,Long,TRUE,Complete,0.7,-0.3,U,Red,Neutral,Neutral,Complete,,,D,Red,Short,TRUE,Broken,2.7,0.5,
22-Dec-08,Monday,DX,Green,Short,TRUE,Complete,0.8,-0.5,DXP,Red,Short,FALSE,Broken,1,-2,D,Red,Short,TRUE,Complete,2.5,0.1,
29-Dec-08,Monday,DX,Red,Short,TRUE,Complete,2.9,-0.3,UX,Green,Long,TRUE,Complete,0.5,-0.6,D,Red,Short,TRUE,Complete,0.9,-0.8,
30-Dec-08,Tuesday,UXP,Green,Long,TRUE,Complete,2.4,-0.3,UX,Green,Long,FALSE,Complete,0.3,-1.2,D,Green,Long,TRUE,Broken,2.3,-0.5,
5-Jan-09,Monday,UXP,Green,Short,TRUE,Complete,1.3,-0.5,U,Green,Short,TRUE,Broken,1.3,-1,D,Green,Long,TRUE,Broken,1.2,-0.8,
15-Jan-09,Thursday,DXP,Green,Short,TRUE,Complete,0.8,-0.6,RX,Red,Neutral,Neutral,Complete,,,D,Red,Short,FALSE,Broken,0.3,-1.6,
23-Jan-09,Friday,RC,Green,Long,FALSE,Complete,1.7,-8,DXP,Red,Short,TRUE,Complete,1,-1.1,D,Green,Long,TRUE,Broken,1.4,-0.2,
27-Jan-09,Tuesday,RC,Green,Long,TRUE,Complete,4.3,-0.5,UXP,Red,Short,TRUE,Broken,2.5,0.1,D,Red,Long,TRUE,Broken,0.3,-0.7,
30-Jan-09,Friday,DXP,Green,Long,TRUE,Complete,1.8,-0.1,UX,Green,Short,TRUE,Broken,2,0.2,D,Red,Short,TRUE,Complete,1,-0.4,
3-Feb-09,Tuesday,UXP,Green,Long,FALSE,Complete,2.7,0.7,U,Green,Short,TRUE,Broken,1.5,-0.8,D,Red,Long,TRUE,Broken,1.8,-0.6,
20-Feb-09,Friday,DXP,Red,Short,TRUE,Complete,2.7,0.4,DXP,Red,Short,TRUE,Complete,0.6,-0.3,D,Green,Short,FALSE,Broken,1,-1.7,
2-Mar-09,Monday,DXP,Red,Short,TRUE,Complete,1.9,-0.1,DXP,Red,Short,TRUE,Complete,1.9,-0.1,D,Red,Short,TRUE,Complete,2.7,0,
3-Apr-09,Friday,UXP,Green,Short,TRUE,Complete,3,-2,DXP,Green,Long,TRUE,Broken,2.9,0.5,D,Red,Short,FALSE,Broken,0.4,-1.8,
14-Apr-09,Tuesday,UXP,Red,Short,TRUE,Broken,2.5,0.4,DXP,Green,Long,TRUE,Broken,1.3,0.1,D,Green,Long,FALSE,Broken,0.7,-2.2,
23-Apr-09,Thursday,DX,Red,Short,FALSE,Complete,2.3,-3,UXP,Green,Long,TRUE,Complete,1.3,-0.9,D,Red,Short,FALSE,Broken,0.4,-1.7,
15-May-09,Friday,UXP,Green,Short,TRUE,Complete,0.4,-1,RX,Red,Short,TRUE,Complete,1.3,0.3,D,Green,Long,FALSE,Broken,0.6,-3.1,
22-May-09,Friday,RC,Red,Long,TRUE,Complete,1.2,-1,RX,Neutral,Long,TRUE,Complete,1.5,0.2,D,Neutral,Long,TRUE,Broken,0.7,-0.7,
27-May-09,Wednesday,UXP,Red,Short,FALSE,Complete,0.5,-1.1,U,Green,Long,FALSE,Broken,0.5,-1.5,D,Red,Short,TRUE,Broken,3.8,-1.6,
10-Jun-09,Wednesday,DX,Green,Long,TRUE,Broken,3,0.2,UXP,Green,Long,TRUE,Complete,1.5,-0.2,D,Red,Short,TRUE,Complete,1.3,0,
7-Jul-09,Tuesday,UXP,Red,Short,TRUE,Complete,1.2,-1.2,DXP,Red,Long,TRUE,Broken,1.5,-0.3,D,Red,Short,TRUE,Complete,2.4,-0.2,
10-Aug-09,Monday,UX,Green,Long,TRUE,Complete,0.8,-0.9,U,Red,Short,TRUE,Broken,1.2,-0.9,D,Green,Long,FALSE,Broken,0.3,-2,
13-Aug-09,Thursday,RC,Green,Long,TRUE,Complete,2.4,-0.4,UXP,Green,Long,TRUE,Complete,2.8,0.3,D,Red,Long,TRUE,Broken,0.4,-0.6,
20-Aug-09,Thursday,UXP,Red,Long,TRUE,Complete,6,-0.5,UXP,Green,Long,FALSE,Broken,1,-4.5,D,Green,Long,TRUE,Broken,0.8,-0.3,
27-Aug-09,Thursday,RC,Red,Short,TRUE,Complete,3.1,-0.7,RX,Green,Long,TRUE,Complete,1,-1,D,Red,Long,TRUE,Broken,0.5,0,
3-Sep-09,Thursday,DX,Red,Long,TRUE,Broken,0.7,-0.3,UXP,Red,Long,TRUE,Complete,1.6,0.5,D,Red,Long,TRUE,Broken,0.5,0.3,
21-Sep-09,Monday,DXP,Green,Short,TRUE,Complete,1.2,-1,DXP,Red,Short,TRUE,Complete,1,-0.5,D,Green,Long,TRUE,Broken,1.3,-0.1,
22-Sep-09,Tuesday,UXP,Green,Long,TRUE,Complete,0.3,-0.2,UXP,Green,Neutral,Neutral,Complete,,,D,Red,Long,TRUE,Broken,0.9,-0.3,
7-Oct-09,Wednesday,RC,Neutral,Short,FALSE,Complete,2.6,-6,UX,Green,Short,TRUE,Broken,0.5,-0.2,D,Green,Neutral,Neutral,Complete,,,
19-Oct-09,Monday,DX,Red,Long,TRUE,Broken,0.6,-0.3,UXP,Green,Neutral,Neutral,Complete,,,D,Green,Long,TRUE,Broken,1.6,0.1,
22-Oct-09,Thursday,DXP,Green,Short,TRUE,Complete,1,-1.2,RX,Green,Short,FALSE,Complete,0.8,-1.6,D,Red,Long,TRUE,Broken,2.3,0,
30-Nov-09,Monday,UXP,Green,Neutral,Neutral,Complete,,,D,Red,Short,TRUE,Complete,0.7,-0.6,D,Green,Long,FALSE,Complete,0.2,-1.4,
11-Dec-09,Friday,RC,Red,Long,TRUE,Complete,1.1,-0.2,UXP,Green,Long,TRUE,Complete,0.5,-1,D,Green,Short,TRUE,Complete,0.9,-1.1,
23-Dec-09,Wednesday,RC,Green,Long,TRUE,Complete,3,-0.2,UXP,Green,Long,TRUE,Complete,1,-0.7,D,Red,Neutral,Neutral,Complete,,,
3-Feb-10,Wednesday,UXP,Red,Short,FALSE,Complete,1.3,-1.7,RX,Red,Short,TRUE,Complete,0.8,-0.5,D,Red,Short,TRUE,Complete,0.5,-0.7,
5-Feb-10,Friday,DXP,Red,Long,TRUE,Complete,0.5,-0.2,D,Red,Short,TRUE,Complete,1.4,-0.1,D,Red,Short,TRUE,Complete,1.5,-1.4,
17-Feb-10,Wednesday,UXP,Green,Long,TRUE,Complete,1,-0.2,UXP,Green,Short,FALSE,Complete,0.5,-1.9,D,None,Long,FALSE,Broken,0.4,-1.7,
22-Feb-10,Monday,UXP,Green,Long,TRUE,Complete,0.3,-1.2,RX,Red,Long,TRUE,Complete,0.5,-0.1,D,Red,None,None,Complete,0,0,
11-Mar-10,Thursday,RC,Green,Short,TRUE,Complete,3,0.5,DXP,Green,Long,TRUE,Broken,0.8,-1,D,Green,Long,TRUE,Broken,2.3,-0.6,
31-Mar-10,Wednesday,DX,Red,Short,TRUE,Complete,2.5,-0.5,DX,Green,Long,FALSE,Broken,0.3,-1.5,D,Green,Long,TRUE,Broken,0.4,-0.8,
23-Jul-10,Friday,UX,Green,Short,FALSE,Complete,0.5,-1.1,D,Green,Long,TRUE,Broken,0.7,-0.1,D,Green,Long,TRUE,Broken,1.6,0.5,
30-Jul-10,Friday,DXP,Red,Short,TRUE,Complete,1.7,-0.2,RX,Green,Short,TRUE,Complete,1.1,0,D,Green,Long,TRUE,Broken,0.8,-0.4,
9-Aug-10,Monday,RC,Red,Long,TRUE,Complete,1.1,-0.4,DXP,Green,Long,TRUE,Complete,0.3,0,D,Red,Long,TRUE,Complete,0.6,0,
15-Sep-10,Wednesday,UX,Green,Long,TRUE,Complete,1.4,0.1,UX,Green,Short,TRUE,Broken,2.1,0.1,D,Green,Long,TRUE,Broken,0.7,-0.2,
26-Oct-10,Tuesday,DXP,Green,Short,FALSE,Complete,0.2,-1.5,RX,Red,Short,TRUE,Complete,0.8,-0.8,D,Green,Long,TRUE,Broken,0.4,-0.6,
16-Dec-10,Thursday,DXP,Neutral,Long,FALSE,Complete,3,-1.4,UXP,Green,Long,TRUE,Complete,0.7,-1.3,D,Red,Long,TRUE,Broken,1.3,0.4,
6-Jan-11,Thursday,UXP,Red,Long,FALSE,Complete,0.4,-1.2,U,Green,Long,TRUE,Complete,1.5,0.1,D,Neutral,Long,FALSE,Broken,0.7,-3.4,
10-Jan-11,Monday,DXP,Green,Long,TRUE,Complete,0.5,-0.8,DXP,Red,Short,TRUE,Complete,0.3,-0.7,D,Neutral,Long,TRUE,Broken,0.9,-0.3,
13-Jan-11,Thursday,UXP,Red,Short,TRUE,Complete,1.3,-0.7,RX,Red,Long,TRUE,Complete,0.4,-0.5,D,Red,Short,TRUE,Complete,0.6,-0.4,
20-Jan-11,Thursday,DXP,Green,Short,TRUE,Complete,0.2,0,DX,Neutral,Long,FALSE,Broken,1.1,-1.8,D,Red,Short,FALSE,Broken,0.9,-1.7,
3-Feb-11,Thursday,RC,Green,Short,TRUE,Complete,4.6,0.3,RX,Red,Short,TRUE,Complete,0.5,0.1,D,Red,Long,TRUE,Broken,0.5,0,
10-Feb-11,Thursday,DX,Green,Long,TRUE,Broken,1,-1,DXP,Red,Short,TRUE,Complete,0.8,-0.2,D,Green,Long,TRUE,Broken,0.7,-0.2,
14-Feb-11,Monday,UXP,Red,Short,FALSE,Complete,1.2,-3.8,U,Red,Short,TRUE,Broken,0.7,-0.2,D,Green,Short,FALSE,Broken,0.4,-2,
15-Feb-11,Tuesday,RC,Neutral,Long,TRUE,Complete,1.7,-0.8,RX,Green,Neutral,Neutral,Complete,,,D,Red,Neutral,Neutral,Complete,,,
4-Mar-11,Friday,UXP,Neutral,Short,FALSE,Complete,0.6,-3.4,DX,Red,Long,TRUE,Broken,1.8,-0.5,D,Red,Short,TRUE,Complete,1.2,0,
8-Mar-11,Tuesday,DXP,Red,Long,TRUE,Complete,3.1,-0.8,UXP,Red,Short,TRUE,Broken,1.3,-0.5,D,Green,Long,TRUE,Broken,0.7,0.1,
14-Mar-11,Monday,UX,Green,Neutral,Neutral,Complete,,,U,Red,Short,FALSE,Broken,0.6,-1.5,D,Green,Short,TRUE,Complete,2,-0.8,
22-Mar-11,Tuesday,RC,Red,Short,TRUE,Complete,0.8,-0.4,U,Red,Long,FALSE,Complete,1,-1.4,D,Green,Short,TRUE,Complete,0.8,-0.7,
23-Mar-11,Wednesday,DXP,Red,Short,TRUE,Complete,0.5,-0.5,DX,Red,Long,TRUE,Broken,3.3,-1,D,Red,Long,TRUE,Broken,1.9,0.1,
29-Mar-11,Tuesday,DXP,Green,Long,TRUE,Complete,2.6,-1,UXP,Red,Short,TRUE,Broken,0.6,-0.5,D,Green,Long,TRUE,Broken,1,-0.1,
12-Apr-11,Tuesday,DXP,Red,Short,TRUE,Complete,3.1,-0.3,DXP,Green,Short,TRUE,Complete,0.8,-0.9,D,Red,Short,TRUE,Complete,0.4,-1.1,
17-May-11,Tuesday,DXP,Green,Long,TRUE,Complete,2,0,UXP,Green,Long,TRUE,Complete,2,-1.8,D,Green,Short,TRUE,Complete,0.9,-0.9,
8-Jun-11,Wednesday,DXP,Red,Short,TRUE,Complete,4.2,0.6,DX,Red,Short,TRUE,Complete,1,-0.1,D,Green,Long,FALSE,Complete,0.5,-1.8,
28-Apr-11,Thursday,UXP,Green,Long,TRUE,Complete,1.6,0.1,U,Red,Short,TRUE,Broken,1,-0.1,D,Green,Long,TRUE,Broken,1.4,-0.8,
5-Jul-11,Tuesday,UXP,Green,Long,FALSE,Broken,0.5,-3.8,DX,Green,Long,TRUE,Broken,0.8,-1,D,Red,Long,FALSE,Broken,0.4,-1.2,
18-Jul-11,Monday,RC,Red,Short,TRUE,Complete,0.8,-0.5,DX,Red,Short,TRUE,Complete,0.8,-0.7,D,Red,Short,TRUE,Complete,0.6,-0.5,
3-Aug-11,Wednesday,DXP,Green,Long,TRUE,Complete,1.3,-1.4,UX,Green,Long,TRUE,Complete,0.2,-0.9,D,Red,Short,FALSE,Broken,1.2,-1.7,
11-Aug-11,Thursday,DX,Green,Long,TRUE,Broken,1.2,-0.2,UXP,Red,Short,TRUE,Broken,3.3,0,D,Green,Long,TRUE,Broken,2.3,-0.1,
30-Aug-11,Tuesday,UXP,Green,Short,TRUE,Complete,0.3,-0.8,DXP,Red,Short,TRUE,Complete,1.3,-0.3,D,Red,Long,TRUE,Broken,1.3,-0.3,
6-Sep-11,Tuesday,DX,Neutral,Short,FALSE,Complete,1.1,-2.7,UXP,Green,Long,FALSE,Complete,1.1,-2.2,D,Green,Long,TRUE,Broken,1.2,0,
15-Nov-11,Tuesday,DX,Red,Short,TRUE,Complete,1.4,-0.1,D,Red,Short,TRUE,Complete,2,-0.1,D,Green,Short,FALSE,Broken,0.6,-3,
23-Nov-11,Wednesday,DXP,Red,Short,TRUE,Complete,0.8,0.1,DX,Green,Long,FALSE,Complete,0.3,-1.6,D,Red,Short,TRUE,Complete,0.6,-0.5,
24-Jan-12,Tuesday,DXP,Red,Short,TRUE,Complete,2.3,0,DXP,Red,Short,TRUE,Complete,1.3,-0.4,D,Green,Long,TRUE,Broken,1,0,
2-Feb-12,Thursday,UX,Red,Short,TRUE,Complete,1.8,-0.8,D,Red,Short,TRUE,Complete,0.7,-0.7,D,Neutral,Long,FALSE,Broken,0.5,-1.6,
8-Feb-12,Wednesday,UXP,Neutral,Short,FALSE,Complete,1,-14,UXP,Green,Short,TRUE,Complete,0.7,-0.4,D,Green,Short,TRUE,Complete,1.1,-1,
14-Feb-12,Tuesday,RC,Red,Short,TRUE,Complete,2.5,-1,DX,Red,Long,TRUE,Broken,2.1,0.2,D,Red,Short,FALSE,Broken,1.1,-1.5,
24-Feb-12,Friday,UXP,Green,Neutral,Neutral,Complete,,,D,Neutral,Long,TRUE,Broken,0.7,-1.2,D,Red,Long,FALSE,Broken,0.4,-1.4,
27-Feb-12,Monday,DXP,Neutral,Long,FALSE,Broken,1.2,-3.3,DX ,Red,Short,TRUE,Complete,0.2,-0.4,D,Green,Long,TRUE,Broken,1.8,0.3,
2-Mar-12,Friday,UXP,Red,Short,TRUE,Complete,1.3,-0.2,DXP,Red,Short,TRUE,Complete,1.7,-0.8,D,Green,Short,TRUE,Complete,1.3,-0.6,
7-Mar-12,Wednesday,RC,Green,Long,TRUE,Complete,1,-1.6,U,Red,Long,TRUE,Complete,0.4,-0.6,D,Green,Long,TRUE,Broken,2.9,0.3,
13-Mar-12,Tuesday,UXP,Green,Long,TRUE,Complete,5.6,0.2,UXP,Red,Long,TRUE,Complete,1.1,-0.3,D,Red,Long,TRUE,Broken,9,0.3,
15-Mar-12,Thursday,DXP,Green,Long,TRUE,Broken,2.3,-0.2,UXP,Green,Long,TRUE,Complete,0.6,-1.2,D,Green,Long,TRUE,Broken,1.1,-0.6,
2-Apr-12,Monday,UXP,Red,Short,TRUE,Complete,2.2,-0.3,DX,Green,Short,TRUE,Complete,3.7,0,D,Green,Long,TRUE,Broken,1.3,0,
10-Apr-12,Tuesday,RC,Neutral,Long,TRUE,Complete,4,0,RX,Neutral,Long,TRUE,Complete,0.3,-1.1,D,Red,Short,TRUE,Complete,2.6,-0.1,
3-May-12,Thursday,UXP,Red,Short,TRUE,Complete,1.4,-0.4,RX,Green,Long,TRUE,Complete,1.2,-0.3,D,Red,Short,TRUE,Complete,1.2,0,
31-May-12,Thursday,DXP,Red,Long,TRUE,Complete,1,0.1,UXP,Green,Long,TRUE,Complete,0.7,-1,D,Red,Short,FALSE,Broken,0.3,-1.6,
12-Jun-12,Tuesday,DXP,Green,Long,TRUE,Complete,3.1,0.2,UXP,Neutral,Short,TRUE,Complete,1.1,-1.3,D,Red,Short,FALSE,Broken,0.3,-2.9,
15-Jun-12,Friday,UXP,Neutral,Long,TRUE,Complete,6.5,1.5,UXP,Green,Long,TRUE,Complete,0.3,-1.2,D,Green,Long,TRUE,Broken,1.5,0,
11-Jul-12,Wednesday,DXP,Red,Short,FALSE,Complete,1,-2.4,UX,Green,Long,TRUE,Complete,1.1,-0.7,D,Green,Short,TRUE,Complete,1.9,-1.2,
12-Jul-12,Thursday,UX,Red,Short,TRUE,Broken,4.5,-0.4,DXP,Red,Long,FALSE,Complete,1.1,-1.7,D,Red,Long,TRUE,Broken,1.1,0.1,
9-Aug-12,Thursday,UXP,Red,Long,TRUE,Complete,8.3,0.3,UXP,Red,Short,TRUE,Broken,1.6,-0.5,D,Green,Short,TRUE,Complete,0.2,-1.1,
14-Aug-12,Tuesday,RC,Red,Long,TRUE,Complete,7,0,UXP,Green,Short,TRUE,Complete,0.5,-0.6,D,Red,Short,TRUE,Complete,1.9,0.6,
10-Oct-12,Wednesday,DXP,Red,Long,TRUE,Complete,0.3,-0.2,UX,Green,Short,TRUE,Broken,1,-1.2,D,Green,Short,TRUE,Complete,2.4,0.2,
12-Oct-12,Friday,DXP,Green,Long,TRUE,Complete,0.8,-1,RX,Green,Long,TRUE,Complete,0.3,-0.4,D,Green,Short,TRUE,Complete,1.5,0.2,
15-Oct-12,Monday,DXP,Red,Long,TRUE,Complete,0.1,-0.2,UXP,Green,Long,TRUE,Complete,0.3,-0.1,D,Red,Long,TRUE,Broken,1.6,0,
18-Oct-12,Thursday,UX,Red,Long,TRUE,Complete,0.8,-1,D,Red,Neutral,Neutral,Complete,,,D,Red,Long,FALSE,Broken,1.1,-1.9,
9-Nov-12,Friday,DXP,Green,Long,TRUE,Complete,1.2,-0.1,RX,Red,Short,TRUE,Complete,2.3,-0.1,D,Green,Long,TRUE,Broken,0.7,-0.6,
15-Nov-12,Thursday,DXP,Neutral,Long,TRUE,Complete,0.5,-0.7,UX,Green,Long,FALSE,Broken,0.3,-1.8,D,Green,Short,TRUE,Complete,1,-0.8,
16-Nov-12,Friday,DXP,Red,Long,TRUE,Complete,0.6,-0.7,UXP,Green,Short,FALSE,Broken,3,-2.8,D,Red,Short,FALSE,Broken,0.4,-2,
26-Nov-12,Monday,UX,Red,Short,TRUE,Complete,1.6,-0.2,D,Red,Short,TRUE,Broken,1,-1.2,D,Neutral,Short,FALSE,Broken,1,-1.9,
27-Nov-12,Tuesday,UXP,Green,Short,TRUE,Complete,0.8,-0.8,D,Neutral,Short,TRUE,Complete,1.3,-0.2,D,Red,Short,TRUE,Complete,0.5,-0.4,
30-Nov-12,Friday,DXP,Green,Long,TRUE,Broken,1.5,-0.2,UXP,Green,Long,TRUE,Complete,1,-0.4,D,Green,Short,TRUE,Broken,0.9,-1.7,
15-Jan-13,Tuesday,RC,Red,Short,TRUE,Broken,1.1,0,DXP,Green,Long,FALSE,Complete,0.6,2.1,D,Green,Long,TRUE,Broken,2.1,-0.3,
22-Jan-13,Tuesday,RC,Red,Short,FALSE,Complete,1.6,2,D,Red,Short,TRUE,Broken,0.3,-0.8,D,Red,Long,TRUE,Broken,2,0,
30-Jan-13,Wednesday,UXP,Neutral,Long,FALSE,Complete,0.3,3,U,Green,Short,TRUE,Broken,5,-0.3,D,Red,Short,TRUE,Broken,0.7,-0.7,
11-Feb-13,Monday,RC,Red,Short,TRUE,Complete,1,-0.4,D,Green,Long,TRUE,Broken,1.7,0,D,Red,Long,TRUE,Broken,0.5,-0.8,
13-Mar-13,Wednesday,DX,Green,Long,FALSE,Broken,0.3,0.5,D,Red,Short,TRUE,Broken,2.5,0,D,Red,Long,TRUE,Broken,0.8,0,
25-Mar-13,Monday,UXP,Green,Long,TRUE,Complete,0.4,0,UX,Red,Long,TRUE,Complete,0.8,0,D,Red,Short,TRUE,Broken,3.5,0,
3-Apr-13,Wednesday,RC,Red,Short,TRUE,Broken,1.3,-0.5,RX,Red,Long,TRUE,Broken,1,-1.1,D,Red,Short,TRUE,Broken,1.7,0,
8-Apr-13,Monday,UXP,Red,Short,TRUE,Complete,0.3,-1,U,Green,Long,TRUE,Broken,0.7,-0.1,D,Red,Long,TRUE,Broken,2.8,0,
12-Apr-13,Friday,UX,Red,Short,TRUE,Broken,2.3,0,DXP,Red,Short,TRUE,Complete,2.3,-0.1,D,Red,Short,TRUE,Broken,1.3,-0.5,
22-Apr-13,Monday,UXP,Red,Long,TRUE,Complete,6.5,0,UXP,Neutral,Neutral,Neutral,Complete,,,D,Red,Long,TRUE,Broken,0.6,0,
26-Apr-13,Friday,RC,Red,Long,FALSE,Broken,1,1,RX,Red,Short,TRUE,Broken,0.7,-0.3,D,Red,Short,TRUE,Broken,0.7,-1,
30-Apr-13,Tuesday,UX,Red,Short,FALSE,Complete,0.2,1,U,Red,Short,TRUE,Broken,0.7,-0.6,D,Red,Long,TRUE,Broken,0.7,-0.1,
23-May-13,Thursday,DXP,Neutral,Short,TRUE,Complete,5.5,-0.5,DXP,Red,Short,FALSE,Complete,0.6,0.1,D,Green,Long,TRUE,Broken,1.3,-0.1,
25-Jul-13,Thursday,DXP,Red,Short,TRUE,Complete,0.3,-0.8,D,Red,Short,TRUE,Complete,2.1,0.1,D,Green,Short,FALSE,Broken,0.3,-1.8,
25-Jul-13,Thursday,DXP,Red,Short,TRUE,Complete,0.3,-0.8,D,Red,Short,TRUE,Complete,2.1,0.1,D,Green,Short,FALSE,Broken,0.3,-1.8,
29-Jul-13,Monday,UXP,Green,Short,TRUE,Complete,9,0.5,DXP,Green,Short,TRUE,Complete,0.7,-0.7,D,Green,Short,TRUE,Complete,1.6,-0.7,
29-Jul-13,Monday,UXP,Green,Short,TRUE,Complete,9,0.5,DXP,Green,Short,TRUE,Complete,0.7,-0.7,D,Green,Short,TRUE,Complete,1.6,-0.7,
3-Sep-13,Tuesday,RX,Green,Long,TRUE,Complete,0.7,-0.5,UX,Green,Short,TRUE,Broken,2.6,-0.2,D,Red,Short,TRUE,Complete,3.4,0.3,
3-Sep-13,Tuesday,RX,Green,Long,TRUE,Complete,0.7,-0.5,UX,Green,Short,TRUE,Broken,2.6,-0.2,D,Red,Short,TRUE,Complete,3.4,0.3,
11-Sep-13,Wednesday,RC,Red,Short,FALSE,Complete,0.8,-2.6,D,Neutral,Long,TRUE,Broken,0.6,-1,D,Red,Long,TRUE,Broken,1.7,0.4,
11-Sep-13,Wednesday,RC,Red,Short,FALSE,Complete,0.8,-2.6,D,Neutral,Long,TRUE,Broken,0.6,-1,D,Red,Long,TRUE,Broken,1.7,0.4,
8-Oct-13,Tuesday,DXP,Red,Short,FALSE,Broken,3.5,-2,UXP,Neutral,Short,FALSE,Broken,0.7,-1.5,D,Red,Short,TRUE,Complete,4.1,-0.5,
8-Oct-13,Tuesday,DXP,Red,Short,FALSE,Broken,3.5,-2,UXP,Neutral,Short,FALSE,Broken,0.7,-1.5,D,Red,Short,TRUE,Complete,4.1,-0.5,
30-Oct-13,Wednesday,UXP,Red,Long,TRUE,Complete,0.5,-0.4,UXP,Green,Long,TRUE,Complete,2.3,0,D,Red,Short,TRUE,Complete,3.8,-0.1,
